Country Name,Country Code,2017,2018,2019,2020,2021
Aruba,ABW,29348.418968591,30253.7142345626,31135.8843563332,23384.2987907455,
Africa Eastern and Southern,AFE,1629.40427287618,1541.03166126289,1511.30925874722,1360.87864476883,1557.72268174541
Afghanistan,AFG,516.679862210543,485.668418729808,494.179349886029,516.747870807558,
Africa Western and Central,AFW,1613.4904781425,1704.13569844318,1777.85282247276,1709.76412923861,1774.92121803027
Angola,AGO,2313.22058359692,2524.94248263123,2177.79901475964,1631.43169087951,2137.90939339084
Albania,ALB,4531.0193737689,5287.66369446913,5396.21586434732,5332.16047456847,6494.38571288581
Andorra,AND,38964.662014361,41793.3188365378,40898.4179063904,37416.6977203275,43047.6862704034
Arab World,ARB,6272.94978241754,6635.38139369641,6562.96999763297,5724.28687023385,6412.38920956596
United Arab Emirates,ARE,40644.7911908818,43839.3244857234,42701.4430454782,36284.5552429552,
Argentina,ARG,14613.041824658,11795.1593866287,10076.3552409481,8585.69474249794,10729.2325777217
Armenia,ARM,3914.52785436696,4220.54032079145,4604.64632355695,4266.01807420946,4670.008798001
American Samoa,ASM,11003.8297642807,11521.6097798453,11715.3601388487,12844.9009909959,
Antigua and Barbuda,ATG,15383.5763979856,16679.5916624545,17376.6496765004,13992.7444804497,14900.7974022154
Australia,AUS,53934.2501750463,57180.7794001614,54875.2859563351,51680.3165229438,59934.1294088895
Austria,AUT,47429.1584564387,51486.5755014824,50114.4011099728,48588.6593847921,53267.9327491132
Azerbaijan,AZE,4147.08971569171,4739.84171028393,4805.75371765917,4229.91064904503,5384.03499804521
Burundi,BDI,250.514600732695,238.034309554717,223.862875707709,233.837510306669,236.795414165095
Belgium,BEL,44198.4823908691,47549.2080494546,46599.1113350938,45189.3669003126,51767.7885723646
Benin,BEN,1136.59387178448,1241.8252980053,1219.51550596905,1291.04097215441,1428.44717671325
Burkina Faso,BFA,734.996267960528,804.500537821516,796.115206827676,857.932729650223,918.15258192146
Bangladesh,BGD,1839.58337801163,1991.48326659412,2154.22681857606,2270.34753479166,2503.04388008424
Bulgaria,BGR,8366.29322145748,9446.70077185518,9879.26853313318,10079.2033812203,11634.9710182244
Bahrain,BHR,23742.9373424159,24086.3016866837,23552.3799480773,20406.5023256629,22232.3252265292
Bahamas, The,31314.844558283,32371.0081755289,33077.3918342474,33872.3343072665,24665.0968345675
Bosnia and Herzegovina,BIH,5394.26913970341,6070.35298018619,6119.76235142981,6082.36673041923,6916.43831507661
Belarus,BLR,5785.67067254068,6360.06247301284,6837.71782606351,6555.42681826316,7303.69626589884
Belize,BLZ,4909.60466379916,4927.19422373932,4983.33611435869,3987.79659612067,4420.4913723374
Bermuda,BMU,111820.581466347,113050.73688163,116153.166121638,107706.039785266,110869.463103011
Bolivia,BOL,3351.12434432642,3548.59078021899,3552.06814383653,3137.98961744018,3414.89284856087
Brazil,BRA,9928.67589653405,9151.38173161536,8876.05983587779,6814.87563196772,7518.83428432838
Barbados,BRB,17404.2074696278,17782.8747318576,18480.0565925601,16318.7481052701,17033.9371863139
Brunei Darussalam,BRN,28571.608291419,31628.4762566009,31085.9619255901,27442.95382794,31722.6601371588
Bhutan,BTN,3286.59674376682,3243.47743748718,3322.86332883678,3000.77798595652,
Botswana,BWA,7296.09214157008,7503.8785883646,7247.42947645351,6348.83231765626,7347.55238231951
Central African Republic,CAF,450.900697005372,475.953813864813,468.117514792315,481.746296629034,511.484745592238
Canada,CAN,45129.4292980922,46548.6384108296,46328.6718408497,43258.2638715601,52051.3514647093
Central Europe and the Baltics,CEB,14254.7381019007,16047.2796999215,16346.5618056396,16197.2993493424,18568.9933848981
Switzerland,CHE,83352.0886533412,86388.4049527184,85334.5194620909,87100.4148213751,93457.4403976155
Channel Islands,CHI,,,,,
Chile,CHL,14962.5568471791,15772.333484425,14699.4627808048,13220.5707580419,16502.8385709035
China,CHN,8816.98690451989,9905.34200389253,10143.8381955595,10408.6697561349,12556.3331200058
Cote d'Ivoire,CIV,2111.02655726645,2314.05095836881,2276.3323939018,2325.72370502247,2578.76041204832
Cameroon,CMR,1469.44749980724,1585.24053445546,1533.09568807789,1537.13021832773,1661.70210527032
Congo,COD,471.318822463486,467.07423172679,565.829542895849,596.56057010511,543.950392515803
Congo,COG,2051.66617623027,2170.90056268043,2606.61552601515,2369.72944099031,1899.77823742106
Colombia,COL,6376.70671552601,6729.58333198168,6418.61578254492,5312.19855554985,6131.22592153117
Comoros,COM,1323.81484301294,1428.29046324322,1404.43318720472,1407.40927043446,1494.68769339899
Cabo Verde,CPV,3292.63350335797,3616.46066604314,3603.77524058462,3064.27238842819,3445.75653621
Costa Rica,CRI,12225.5744931385,12485.4238961667,12762.1380073688,12201.9260332666,12508.6156275756
Caribbean small states,CSS,9915.74468409936,10250.2917323397,10406.6707101531,8857.87092186091,9352.28202838224
Cuba,CUB,8541.21368643707,8824.19400843842,9125.8786794952,9477.85287326771,
Curacao,CUW,18788.8072839326,18956.0979142963,19024.1772302171,16109.8616665506,
Cayman Islands,CYM,81513.1628341398,86180.5396948445,91513.042673381,85346.7619526658,
Cyprus,CYP,26608.875,29334.111328125,29206.076171875,27681.56640625,30798.4765625
Czechia,CZE,20636.199952435,23419.7356136502,23660.1488068317,22933.4995909236,26378.4999575477
Germany,DEU,44652.5891722719,47973.6076235097,46794.8992915603,46252.6893044892,50801.7867105308
Djibouti,DJI,2926.15330391496,3038.26973815945,3172.75068492992,3219.70112779347,3363.71204814366
Dominica,DMA,7298.51457951094,7745.37696325874,8516.28003895161,7003.85902147233,7559.9750390528
Denmark,DNK,57610.0981801135,61591.9288698958,59775.7350964515,61063.3164304238,67803.0471046403
Dominican Republic,DOM,7609.35327534023,8050.64407623416,8282.11713050921,7268.1969096591,8603.78990518158
Algeria,DZA,4109.69821695727,4142.01855842917,3989.66827645236,3306.85820838104,3765.03462494702
East Asia & Pacific (excluding high income),EAP,7159.4513800779,7954.76252492483,8177.83799959088,8270.4551375631,9776.49380942516
Early-demographic dividend,EAR,3521.38164524567,3509.75422160638,3538.83341305865,3253.71345552774,3739.95779025925
East Asia & Pacific,EAS,10466.4242660902,11324.0048838657,11494.0915299335,11483.599313849,13037.4626411209
Europe & Central Asia (excluding high income),ECA,7889.01689896702,8008.25710825888,8136.75183449526,7435.16074761498,8708.06363752219
Europe & Central Asia,ECS,23704.3284006749,25297.6798609025,24914.603370603,23981.0220068683,27114.2759902197
Ecuador,ECU,6213.50312736888,6295.93466163992,6222.52465327248,5627.77227986528,5934.87549580808
Egypt,EGY,3519.8732398108,2444.29038718448,2537.12518504712,3019.09228346646,3569.20684121108
Euro area,EMU,37154.4819396225,40059.1824769881,39195.7748274703,38012.6672881035,42307.7290448297
Eritrea,ERI,,,,,
Spain,ESP,28170.1678643302,30364.5799435622,29554.4905170087,27056.4217512166,30115.7058866792
Estonia,EST,20437.765376736,23063.5638175675,23397.8782560944,23054.3584905978,27280.6584396993
Ethiopia,ETH,768.523015429372,771.524866349431,855.760885186903,936.45075756247,943.965684225205
European Union,EUU,33094.4083474507,35753.3668481949,35089.2827874493,34191.8282529314,38234.1345970542
Fragile and conflict affected situations,FCS,1825.73833177236,1826.83326554318,1905.70041785845,1743.36711268666,1826.39640076957
Finland,FIN,46412.1364777169,49988.9108461845,48628.641762105,49160.8371522596,53982.6142735261
Fiji,FJI,6101.02388950081,6317.41372301725,6175.8906526556,5102.84392924983,5085.97164195861
France,FRA,38781.0494870836,41592.795896432,40578.6442850534,39037.1226309074,43518.5385130851
Faroe Islands,FRO,61455.0526069484,65572.6075305846,67153.6819379166,66320.6791976778,
Micronesia, Fed. Sts.,3014.70035839042,3289.64211697365,3568.291015625,3624.24909158279,3542.96978797168
Gabon,GAB,7230.43491161979,7959.00726736376,7766.99655422948,6881.71422533521,8016.99049546905
United Kingdom,GBR,40857.7555829627,43646.9519711493,43070.4983595888,41098.0786527828,47334.3553149875
Georgia,GEO,4357.00093554628,4722.0424231414,4696.15058555612,4255.74299321254,5042.38552777387
Ghana,GHA,2074.29073272269,2260.86056729337,2246.62557816432,2254.15388897604,2445.29074932761
Gibraltar,GIB,,,,,
Guinea,GIN,855.575270552124,955.111281136711,1052.58809075877,1078.95000622281,1174.35297194486
Gambia, The,690.780493152792,679.75507172296,732.720727318856,772.505588308894,757.413111611389
Guinea-Bissau,GNB,738.549944890782,802.767385116156,749.453747028806,727.520171719562,812.962373003605
Equatorial Guinea,GNQ,9667.8569615799,10005.6160423267,8380.74112238766,7198.33588370688,8462.28632962077
Greece,GRC,18582.0893411631,19756.990456255,19133.7577636254,17647.2326882744,20276.5446744075
Grenada,GRD,10152.8328118872,10466.8822111958,10834.495680302,9273.19929177393,9928.62173326713
Greenland,GRL,50766.5994182748,54545.2999786248,53256.2440862119,54570.3750190141,
Guatemala,GTM,4454.04814983548,4478.42464550944,4638.63494319511,4603.33964340645,5025.57557261451
Guam,GUM,36601.9198811792,36556.6749110213,38040.5869870588,34624.3401290414,
Guyana,GUY,6124.95366998759,6145.81927664377,6609.51127954588,6955.93921717789,9374.80456982258
High income,HIC,42118.2044042732,44571.4335819118,44774.7750215677,43282.4234611717,47886.7845890595
Hong Kong SAR,HKG,43733.9163612828,46160.429791493,48537.5668888343,48356.0635043614,46100.975872923
Honduras,HND,2453.72711527978,2510.32294304191,2574.35675105143,2405.73284775141,2831.03302075308
Heavily indebted poor countries (HIPC),HPC,1065.40860994757,987.173904512955,994.898280933316,975.474261768968,1057.91924158093
